public_identifier;num_accomplishment_honors_awards;title;issuer;issued_on;description
susanna-khodarahmi-bron;2;;-;01-01-2017;"My submission for the 2017 \""Canada 150\"" exhibit at the Okotoks Art Gallery.  A mixed media visual art piece mounted in a place of honor at the front of the exhibition."
diego-bautista;1;2018-2019;Verizon Media;01-12-2020;null
diego-bautista;2;;Dentsu Aegis;01-02-2019;null
diego-bautista;3;;Seneca College;01-06-2017;null
diego-bautista;4;;Seneca College;01-04-2017;null
diego-bautista;5;;Sapient Nitro;01-02-2017;null
diego-bautista;6;;Seneca College;01-04-2016;null
diego-bautista;7;;Seneca College;01-04-2016;null
diego-bautista;8;;Grey Canada;01-04-2016;null
campanalerealtor;1;;Performance Management Consultants;01-06-2015;null
campanalerealtor;2;01;Real Estate Negotiation Institute;01-03-2015;null
harsh-singh-82017286;1;;Food Safety Training CA;01-01-2021;Food Safety Handlers Course completed and is recognized across Canada by All Health Department.
harsh-singh-82017286;2;;McDonalds;01-12-2011;null
svitlana-talashok-747a79a9;1;;Fanshawe College, London, Ontario;01-04-2017;null
svitlana-talashok-747a79a9;2;;National Ukrainian University of Water Management and Natural Resource Utilization, Ukraine;01-06-2006;null
raffi-derghazarian;1;;Seneca College;01-06-2010;Spending 10-14 hour days every day and being at school every weekend for 2 years resulted in being named the school's valedictorian for my graduating class.
raffi-derghazarian;2;;Seneca College;01-04-2010;"My short film production \""Ready for Action\"" received the award for best audio production."
meghan-hill;1;;BCAA;01-11-2017;null
meghan-hill;2;;BCAA;01-11-2015;null
fr%%C3%%A9d%%C3%%A9ric-fortin-77635291;1;;National Defence;01-11-1989;Lt. Cln. Arsenault Trophy,  awarded to best athletes.
jishu-wen;1;;School of Information Studies in McGill University;01-09-2018;null
jishu-wen;2;;School of Information Studies in McGill University;01-09-2018;null
jishu-wen;3;;College of Communication Scholarship committee;01-08-2016;It is a prize to student with significant growth in a variety of broadcast skills.
jishu-wen;4;;-;null;null
claudie-lachapelle;1;;-;null;null
claudie-lachapelle;2;00-09-00-04-00-09;-;null;null
claudie-lachapelle;3;;-;null;null
claudie-lachapelle;4;;-;null;Awarded to a student who uses her leadership wisely while embodying Danone's set of leadership attitudes known as CODES : Creates, Opens, Drives, Empowers and Self-aware.
claudie-lachapelle;5;00-09;-;null;null
claudie-lachapelle;6;;-;null;null
diana-bragman-843989a;1;03;-;01-09-2018;null
diana-bragman-843989a;2;;-;01-01-2017;null
diana-bragman-843989a;3;;-;01-01-2016;Top Sales
diana-bragman-843989a;4;;-;01-01-2013;Top Sales
diana-bragman-843989a;5;;-;01-01-2011;Top Sales
diana-bragman-843989a;6;;-;01-12-2004;Recognized as top 1%% of CIBC performers.
diana-bragman-843989a;7;;-;01-12-2003;Recognized for outstanding contribution to CIBC (Marketing )
diana-bragman-843989a;8;2019;-;01-12-2001;Recognized for outstanding contribution to CIBC.
claudie-lachance-7331b669;1;00-08;Syndicat des professeurs de l'Universit\u00e9 du Qu\u00e9bec \u00e0 Trois-Rivi\u00e8res;01-02-2019;Bourse Ram Laksmanan de 2e cycle
claudie-lachance-7331b669;2;00-08;FedNav;01-02-2019;null
claudie-lachance-7331b669;3;00-09-00-09-00-09-00-09-00-08-00-09;Association des \u00c9tudiantes et \u00c9tudiants en Biologie de l'Universit\u00e9 Laval;01-05-2015;null
claudie-lachance-7331b669;4;00-09-00-09-00-09-00-09-00-08-00-09;Association des \u00c9tudiantes et \u00c9tudiants en Biologie de l'Universit\u00e9 Laval;01-05-2014;null
claudie-lachance-7331b669;5;00-09-00-09-00-09-00-09-00-08-00-09;Association des \u00c9tudiantes et \u00c9tudiants en Biologie de l'Universit\u00e9 Laval;01-05-2013;null
cwcartwright;1;2016;Colleges and Institutes Canada (CICan);01-05-2016;National award celebrating contributions to college and community life.
cwcartwright;2;;Confederation College;01-02-2014;Student who consistently demonstrates broadcasting excellence.
cwcartwright;3;;Broadcast Executives Society;01-09-2013;Sponsored by the Broadcast Executives Society (BES) and the Canadian Association of Broadcast Representatives (CABR), the Ruth Hancock Scholarships are designed to encourage talented, hard working students to pursue careers in Canadian broadcasting.Awarded by judging submitted essay applications.
cwcartwright;4;;Confederation College;01-02-2013;Writing excellence through creative, story telling, and ability to communicate effectively bursary in the Broadcast Television Production program.
cwcartwright;5;;Fedex Canada;01-06-2000;First outside contractor to be awarded the Bravo Zulu award at Federal Express Canada
daniel-molinski;1;201-201;I.H. Asper School of Business;01-04-2013;The Iggy Award recognizes leaders of student groups in the Asper School of Business that play an integral part in providing an enriched environment for students and contributing to learning, and relationship building.  The award exemplifies the fact that young people can make significant outstanding community contributions and act as mentors to others.
daniel-molinski;2;;I.H. Asper School of Business;01-11-2012;In memory of Greg Doroschuk (B.Comm.(Hons.)/82), his family, friends, and colleagues haveestablished an endowment fund at the University of Manitoba to provide bursary support tostudents in the I.H. Asper School of Business.Awarded to a student who:-Has a minimum degree GPA of 2.5-Has demonstrated community involvement, political involvement, and/or volunteerism
daniel-molinski;3;02;Investors Group;01-10-2012;Awarded to the 2nd place team at the Investors Group Undergraduate Case Competition, after having read, analyzed, and presented a recommendation for a hypothetical business case over a period of three hours.
daniel-molinski;4;;Garda Security;01-03-2009;Awarded to Security Officers who have regularly demonstrated an ability to be reliable and punctual for their scheduled shifts.
daniel-molinski;5;;Garda Security;01-07-2008;Awarded to a Security Officer who has gone above and beyond the standard call of duty.
daniel-molinski;6;;Garda Security;01-01-2008;Awarded to a Security Officer who regularly performs above and beyond the standard call of duty.
daniel-molinski;7;;Garda Security;01-03-2007;Awarded to the best team of Security Officers at any site.
manas-agrawal-54219a92;1;;Ivey Business School;01-12-2016;Awarded for receiving the highest grade in Ivey for the 3303 Finance course
manas-agrawal-54219a92;2;;Ivey Business School;01-06-2015;null
manas-agrawal-54219a92;3;;University of Toronto;01-05-2015;null
manas-agrawal-54219a92;4;;University of Toronto;01-05-2015;null
manas-agrawal-54219a92;5;;University of Toronto;01-11-2014;null
manas-agrawal-54219a92;6;;University of Toronto;01-08-2014;null
manas-agrawal-54219a92;7;;University of Toronto;01-08-2013;null
manas-agrawal-54219a92;8;;University of Toronto;01-07-2013;null
manas-agrawal-54219a92;9;;University of Toronto;null;null
mel-wang;1;;-;null;Dean\u2019s Distinguished Fellowship, University of California, Riverside, 2010 \u2013 2014Graduate Assistantship, State University of New York Binghamton, 2009-2010Teaching Assistantship, State University of New York Binghamton, 2008-2009Third Class Scholarship on Academic Merit, Renmin University of China, 2006\u20142007Second Class Scholarship on Academic Merit, Renmin University of China, 2005\u20142006First Class Scholarship on Academic Merit, Renmin University of China, 2004\u20142005Second Class Scholarship on Social Work, Renmin University of China, 2004\u20142005
eliciabstewart;1;2015;-;01-04-2015;The mobile design award was given for my work on the ios application called Helpr.
albert-zhou;1;;Milliken Mills High School;01-06-2018;Grade 9, 10, 11, 12 honour roll award.
albert-zhou;2;;Milliken Mills High School;01-06-2018;Ontario Scholar.
albert-zhou;3;;University of Waterloo;01-04-2015;Highest mark in school.
albert-zhou;4;;University of Waterloo;01-02-2015;Highest mark in school.
jane-harkness-879049156;1;;Ontario Ministry of Heritage, Sport, Tourism and Culture Industries;01-02-2021;Awarded for continued services with Girl Guide of Canada in Ontario
jane-harkness-879049156;2;;Travel Manitoba;01-09-2017;The award is given to someone who demonstrates a passion for tourism, participates in the tourism field in a variety of possible activities, shows ambition when it comes to promoting tourism in their region and is and example of what the industry's future can become.
jane-harkness-879049156;3;;Tourism Westman;01-06-2017;Award presented to an individual under the age of 29 years in their capacity as a volunteer, employee or entrepreneur.
jane-harkness-879049156;4;;Vimy Foundation;01-04-2016;Prize is a prestigious award consisting of a two-week intensive educational tour in England, Belgium and France focusing on the history of the world wars.
cwakeham;1;2019;University of New Brunswick;01-01-2012;Received the Macaulay-O\u2019Sullivan Award for Innovation and Administrative Service in recognition of my contribution to the UNB Summer Employment Program Pilot while with SES in 2011.
cwakeham;2;;-;null;2011-2014Designed academic posters for conference presentations that travelled across Canada and internationally (Sweden and Australia).
hydelisa;1;;Ivey Business School at Western University;01-06-2016;Academic excellence in MBA degree
dueckadam;1;;University of Manitoba;null;null
dueckadam;2;;W.C. Miller Collegiate;null;null
joel-spratt;1;;IGNITE;01-03-2019;null
joel-spratt;2;;School of Hospitality, Recreation & Tourism;01-01-2018;"Awarded to a Sport Management student who; excels in the planning and execution of special events in the field of sport management and demonstrates superior customer service and professionalism."
joel-spratt;3;;Turtle Jack's Muskoka Grill;01-01-2017;null
kenesha-purrier-05454098;1;;Ontario Colleges Marketing Competition (OCMC);01-11-2015;Ontario Colleges Marketing Competition (OCMC)\u2022\tPlace 3rd in Quiz Bowl Competition
kenesha-purrier-05454098;2;;National Commercial Bank;01-01-2015;- Top Three Sales Representative- Prestige Diamond Club Member
kenesha-purrier-05454098;3;;National Commercial Bank;01-12-2013;Highest Credit Cards Sold
sharon-matthews-stevens-a8495413;1;;TMAC AWARDS;01-01-2018;People's Choice
sharon-matthews-stevens-a8495413;2;;Caribbean Travel Awards;01-01-2018;Oh Snap! Best Photograph Accompanying a Story
sharon-matthews-stevens-a8495413;3;;TMAC Awards;01-01-2017;Best Action Photo sponsored by Ontario Parks
sharon-matthews-stevens-a8495413;4;;TMAC Awards;01-01-2016;Best Photo Series sponsored by TMAC
sharon-matthews-stevens-a8495413;5;;TMAC Awards;01-01-2016;Best People Photo sponsored by Destination Cape Breton
sharon-matthews-stevens-a8495413;6;;TMAC Awards;01-01-2016;Best Action Photo sponsored by Le Quebec Maritime
sharon-matthews-stevens-a8495413;7;;Caribbean Tourism Organization;01-11-2015;"Photograph with the story by Mark Stevens \""The Other Virgin Islands\"" in Canadian Yachting Magazine."
sharon-matthews-stevens-a8495413;8;2014;TMAC Travel Media Association of Canada;01-06-2015;null
sharon-matthews-stevens-a8495413;9;;Ontario Tourism Awards of Excellence;01-01-2015;null
sharon-matthews-stevens-a8495413;10;;Caribbean Tourism Organization;01-01-2013;Oh Snap! Best Photography Accompanying a Story
sharon-matthews-stevens-a8495413;11;;Ontario Tourism Awards;01-01-2013;null
sharon-matthews-stevens-a8495413;12;;Ontario Tourism Awards;01-01-2012;null
sharon-matthews-stevens-a8495413;13;;Ontario Tourism Awards;01-01-2010;null
sharon-matthews-stevens-a8495413;14;2013;Travel Media Association of Canada;null;Presented at the TMAC 2014 Conference and AGM iin Pittsburgh, Pa on May 31, 2014.
sharon-matthews-stevens-a8495413;15;;TMAC Awards;null;Best Action Photo sponsored by Le Quebec Maritime
sharon-matthews-stevens-a8495413;16;2013;Travel Media Association of Canada;null;Presented at the TMAC 2014 Conference and AGM in PIttsburgh, Pa on May 31, 2014
nolan-frese-8b616b5b;1;;BILD Calgary;01-01-2019;null
nolan-frese-8b616b5b;2;;BILD Calgary;01-01-2018;null
nolan-frese-8b616b5b;3;;BILD Calgary;01-04-2017;null
hydeadam;1;2018;Motorola Canada;01-03-2019;Sales award for Canada for 2018.
hydeadam;2;;District of West Vancouver;01-10-2014;Received this group award as a member of Royal Canadian Marine Search and Rescue Station 1, West Vancouver.
hydeadam;3;;Budget Blinds;01-01-2013;Sales over $1M for 2012.
hydeadam;4;;Budget Blinds;01-01-2012;Sales over $1M for 2011.
hydeadam;5;20;Budget Blinds;01-01-2012;Top 20 in Sales out of 800 Franchises for 2011.
hydeadam;6;;Consumer's Choice Awards;01-01-2012;Budget Blinds won 5 consecutive Consumer's Choice Awards from 2008 - 2012.
hydeadam;7;20;Budget Blinds;01-01-2011;Top 20 in Sales out of 800 Franchises for 2010.
hydeadam;8;;Ryerson University;01-10-2009;Inducted into Ryerson Sports Hall of Fame for outstanding athletic achievement.
heather-bray;1;;Canadian Foundation for Dietetic Research;01-06-2019;Honours Research: Dietitians experiences assessing clients for food insecurity in rural Nova Scotia\u2022 Recognized by the Canadian Foundation for Dietetic Research (CFDR) for individual personal achievement for a research project\u2022 Presented findings to peers, preceptors and Acadia University faculty
gabriel-gaudreau-10592416a;1;00-00-00-08;Lowes Canada;01-12-2018;L'excellence de mon service \u00e0 la client\u00e8le a \u00e9t\u00e9 port\u00e9 \u00e0 l'attention de Marvin R. Ellison, Pr\u00e9sident et PDG de Lowe\u2019s Canada, qui m'a fait parvenir une lettre et une distinction pour me remercier de mon d\u00e9vouement. Pendant mon passage au R\u00e9no-D\u00e9p\u00f4t, j'ai \u00e9t\u00e9 nomm\u00e9 employ\u00e9 du mois \u00e0 trois reprises, d\u00e9sign\u00e9 par le vote de mes pairs et mes sup\u00e9rieurs comme offrant un service \u00e0 la client\u00e8le remarquable dans le cadre d'une activit\u00e9 et re\u00e7u de nombreuses lettres et commentaires \u00e9logieux de la part de clients.
